iter	MultiClass
0	1.051317133
1	1.008301583
2	0.9773687099
3	0.9450946287
4	0.9189854258
5	0.8966960213
6	0.8737718695
7	0.8548763113
8	0.8375798218
9	0.8201418905
10	0.8059382963
11	0.7938725157
12	0.7807570641
13	0.7694948516
14	0.7576535025
15	0.7480941776
16	0.7380635778
17	0.72801444
18	0.7193533593
19	0.7129328503
20	0.704449006
21	0.6957350997
22	0.6887928232
23	0.6827564558
24	0.6759186249
25	0.6686809091
26	0.6642203588
27	0.6586380097
28	0.6519944266
29	0.6460988322
30	0.6419721611
31	0.6371188783
32	0.6318577229
33	0.6271496871
34	0.6231312085
35	0.6196625634
36	0.6129951106
37	0.6087319664
38	0.60539797
39	0.6009291956
40	0.5982422919
41	0.5951034169
42	0.5916326505
43	0.5879429524
44	0.5850805503
45	0.5817690713
46	0.5775718503
47	0.574715495
48	0.5719310455
49	0.5673226107
50	0.5650820871
51	0.560661986
52	0.5559165865
53	0.5528359066
54	0.5495216111
55	0.5463558567
56	0.5434024865
57	0.5402083613
58	0.5370108178
59	0.5338100857
60	0.5295880671
61	0.5243994465
62	0.5228446367
63	0.519544759
64	0.517201987
65	0.5153155916
66	0.5129797563
67	0.510404523
68	0.5071245532
69	0.5036025462
70	0.5023119768
71	0.4982274151
72	0.4955366192
73	0.4924842007
74	0.4884061227
75	0.4848340344
76	0.4835142993
77	0.4828466223
78	0.4802361882
79	0.477886756
80	0.4741860655
81	0.4715524299
82	0.4692974393
83	0.4661877354
84	0.4640939786
85	0.4607186993
86	0.4589377017
87	0.456958326
88	0.4552877736
89	0.4538670572
90	0.4506999939
91	0.448281495
92	0.4470484299
93	0.4448994808
94	0.4432876091
95	0.4406428081
96	0.4380189803
97	0.4352840324
98	0.4335681372
99	0.4316126683
100	0.4292307571
101	0.4265756966
102	0.4246156714
103	0.4222737019
104	0.4202453843
105	0.4188837468
106	0.4167570408
107	0.4148503389
108	0.4130786021
109	0.4115660426
110	0.4091196517
111	0.407963267
112	0.4066878503
113	0.4043531293
114	0.402331093
115	0.4016846038
116	0.3993659462
117	0.3971077758
118	0.3958916008
119	0.3934599892
120	0.3917991287
121	0.3895362694
122	0.3878277913
123	0.3863742325
124	0.3836075632
125	0.3816626262
126	0.3805093706
127	0.3788906039
128	0.3772224344
129	0.3756610469
130	0.3738911582
131	0.3722540141
132	0.3696175875
133	0.3681001059
134	0.3670964399
135	0.3659354323
136	0.3646531584
137	0.3636186835
138	0.3620809131
139	0.359958662
140	0.3590960191
141	0.3580359744
142	0.3554951936
143	0.3531602645
144	0.3522278061
145	0.3513145016
146	0.3502027934
147	0.3487169426
148	0.3468888182
149	0.3455557223
150	0.3432486152
151	0.3412824137
152	0.3402649366
153	0.3381571889
154	0.3376082938
155	0.335960545
156	0.3345033993
157	0.3335539019
158	0.3322391408
159	0.3308700317
160	0.3295078779
161	0.327414851
162	0.325438457
163	0.3230504684
164	0.3216311208
165	0.3202290815
166	0.3186060551
167	0.3175768945
168	0.3167135931
169	0.3151260166
170	0.3140816276
171	0.3133061847
172	0.3114744829
173	0.3099185942
174	0.3071295066
175	0.304408149
176	0.3029354669
177	0.3009157989
178	0.2994417589
179	0.2985247712
180	0.2976103545
181	0.2971106557
182	0.2959201011
183	0.2943558164
184	0.2925339503
185	0.291589717
186	0.2910774293
187	0.2896816248
188	0.2887262785
189	0.2871074418
190	0.2859194233
191	0.2849977231
192	0.2839868054
193	0.2826423078
194	0.2812373011
195	0.280019121
196	0.2791013531
